Subject,Session,Folder,File
sub-CG97315,ses-202404221,anat,sub-CG97315_ses-202404221_run-1_T2w
sub-CG97315,ses-202404221,func,sub-CG97315_ses-202404221_task-rest_dir-AP_run-1_bold
sub-CG97315,ses-202404221,func,sub-CG97315_ses-202404221_task-rest_dir-AP_run-2_bold
sub-CG97315,ses-202404221,func,sub-CG97315_ses-202404221_task-rest_dir-PA_run-1_bold
sub-CG97315,ses-202404221,func,sub-CG97315_ses-202404221_task-rest_dir-PA_run-2_bold
sub-CG97654,ses-202406041,anat,sub-CG97654_ses-202406041_run-1_T1w
sub-CG97654,ses-202406041,anat,sub-CG97654_ses-202406041_run-1_T2w
sub-CG97654,ses-202406041,func,sub-CG97654_ses-202406041_task-rest_dir-AP_run-1_bold
sub-CG97654,ses-202406041,func,sub-CG97654_ses-202406041_task-rest_dir-AP_run-2_bold
sub-CG97654,ses-202406041,func,sub-CG97654_ses-202406041_task-rest_dir-PA_run-1_bold
sub-CG97654,ses-202406041,func,sub-CG97654_ses-202406041_task-rest_dir-PA_run-2_bold
sub-CM01633,ses-202301271,anat,sub-CM01633_ses-202301271_rec-norm_run-1_T1w
sub-CM01633,ses-202301271,anat,sub-CM01633_ses-202301271_rec-norm_run-1_T2w
sub-CM01633,ses-202301271,func,sub-CM01633_ses-202301271_task-rest_dir-AP_run-1_bold
sub-CM01633,ses-202301271,func,sub-CM01633_ses-202301271_task-rest_dir-AP_run-2_bold
sub-CM01633,ses-202301271,func,sub-CM01633_ses-202301271_task-rest_dir-PA_run-1_bold
sub-CM01633,ses-202301271,func,sub-CM01633_ses-202301271_task-rest_dir-PA_run-2_bold
sub-CM08170,ses-202402201,anat,sub-CM08170_ses-202402201_rec-norm_run-1_T1w
sub-CM08170,ses-202402201,anat,sub-CM08170_ses-202402201_rec-norm_run-1_T2w
sub-CM08170,ses-202402201,func,sub-CM08170_ses-202402201_task-rest_dir-AP_run-1_bold
sub-CM08170,ses-202402201,func,sub-CM08170_ses-202402201_task-rest_dir-AP_run-2_bold
sub-CM08170,ses-202402201,func,sub-CM08170_ses-202402201_task-rest_dir-PA_run-1_bold
sub-CM08170,ses-202402201,func,sub-CM08170_ses-202402201_task-rest_dir-PA_run-2_bold
sub-CM08170,ses-202404261,anat,sub-CM08170_ses-202404261_rec-norm_run-1_T1w
sub-CM08170,ses-202404261,anat,sub-CM08170_ses-202404261_rec-norm_run-1_T2w
sub-CM08170,ses-202404261,func,sub-CM08170_ses-202404261_task-rest_dir-AP_run-1_bold
sub-CM08170,ses-202404261,func,sub-CM08170_ses-202404261_task-rest_dir-AP_run-2_bold
sub-CM08170,ses-202404261,func,sub-CM08170_ses-202404261_task-rest_dir-PA_run-1_bold
sub-CM08170,ses-202404261,func,sub-CM08170_ses-202404261_task-rest_dir-PA_run-2_bold
sub-CM16303,ses-202403201,anat,sub-CM16303_ses-202403201_rec-norm_run-1_T1w
sub-CM16303,ses-202403201,anat,sub-CM16303_ses-202403201_rec-norm_run-1_T2w
sub-CM16303,ses-202403201,func,sub-CM16303_ses-202403201_task-rest_dir-AP_run-1_bold
sub-CM16303,ses-202403201,func,sub-CM16303_ses-202403201_task-rest_dir-AP_run-2_bold
sub-CM16303,ses-202403201,func,sub-CM16303_ses-202403201_task-rest_dir-PA_run-1_bold
sub-CM16303,ses-202403201,func,sub-CM16303_ses-202403201_task-rest_dir-PA_run-2_bold
sub-CM17896,ses-202405161,anat,sub-CM17896_ses-202405161_rec-norm_run-1_T1w
sub-CM17896,ses-202405161,anat,sub-CM17896_ses-202405161_rec-norm_run-1_T2w
sub-CM17896,ses-202405161,func,sub-CM17896_ses-202405161_task-rest_dir-AP_run-1_bold
sub-CM17896,ses-202405161,func,sub-CM17896_ses-202405161_task-rest_dir-AP_run-2_bold
sub-CM17896,ses-202405161,func,sub-CM17896_ses-202405161_task-rest_dir-PA_run-1_bold
sub-CM17896,ses-202405161,func,sub-CM17896_ses-202405161_task-rest_dir-PA_run-2_bold
sub-CM18195,ses-202403151,anat,sub-CM18195_ses-202403151_rec-norm_run-2_T1w
sub-CM18195,ses-202403151,anat,sub-CM18195_ses-202403151_rec-norm_run-2_T2w
sub-CM18195,ses-202403151,func,sub-CM18195_ses-202403151_task-rest_dir-AP_run-1_bold
sub-CM18195,ses-202403151,func,sub-CM18195_ses-202403151_task-rest_dir-AP_run-2_bold
sub-CM18195,ses-202403151,func,sub-CM18195_ses-202403151_task-rest_dir-PA_run-1_bold
sub-CM18195,ses-202403151,func,sub-CM18195_ses-202403151_task-rest_dir-PA_run-3_bold
sub-CM21823,ses-202403141,anat,sub-CM21823_ses-202403141_rec-norm_run-1_T1w
sub-CM21823,ses-202403141,anat,sub-CM21823_ses-202403141_rec-norm_run-1_T2w
